feature,feature_importance
PPO,0.0018066630901288905
roc_30,0.0016740987124463924
macd,0.0015705722460657157
MINUS_DM_10,0.0015617346208870453
fastd_rsi,0.0013849821173105292
roc_5,0.0013635193133048062
CCI_30,0.0013294313304721417
PLUS_DM_10,0.0013205937052933603
CMO_10,0.001292818311874222
rsi_10,0.0012524177396282532
roc_10,0.001205704577968536
macdsignal,0.001181716738197447
aroon_osc,0.0011678290414879333
fastk_rsi,0.0011236409155936933
aroonup,0.0011084907010014966
WMA_5,0.0010655650929900506
WMA_14,0.0010453648068670107
roll_var_14,0.001010014306151663
WMA_7,0.0009923390557939893
MINUS_DI_10,0.0009822389127324138
roll_var_5,0.0009822389127324138
roll_var_7,0.0009771888412016816
PLUS_DI_10,0.0009393133047210789
macdhist,0.000920375536480722
roll_var_30,0.0009102753934192576
NEW_SMA_5,0.0009064878397710974
SMA_5,0.0009064878397710974
MOM_10,0.0009052253218883033
WMA_30,0.0009014377682403651
trima_30,0.0008900751072963287
SMA_14,0.0008458869814020886
trima_15,0.0008446244635194056
7 Day STD,0.0008294742489272089
slowk,0.0008155865522174732
SMA_7,0.0008029613733906427
aroondown,0.0007865486409157629
SMA_30,0.0007638233190272459
5 Day STD,0.0007638233190272459
fastd,0.0007486731044348272
rsi_5,0.0007373104434907907
rsi_30,0.0007373104434907907
TRIX_10,0.0007196351931331169
30 Day STD,0.0006943848354793447
14 Day STD,0.0006325214592275419
APO,0.0005630829756796407
slowd,0.0005239449213162439
BOP,0.0005163698140200346
ULTOSC,0.0004898569384834683
MIDPOINT_30,0.0004557689556510258
fastk,0.0004330436337626198
ADXR_10,0.0003749678111588661
DX_10,0.00029542918454927847
ewm_15,0.00011993919885555648
kama_30,9.216380543641822e-05
dema_30,4.923819742497226e-05
dema_15,4.16630901287629e-05
ADX_30,7.57510729620936e-06
WILLR,-1.1362660944147507e-05
ewm_30,-6.817596566510709e-05
middle_band,-7.19635193133783e-05
kama_15,-8.206366237484275e-05
lag_4,-9.595135908435637e-05
lower_band,-0.0001186766809727624
ADX_5,-0.00015276466380542697
MIDPOINT_15,-0.00027522889842623854
upper_band,-0.00030805436337622005
lag_1,-0.0003484549356224109
lag_2,-0.00036486766809729065
lag_5,-0.00037370529327607205
close,-0.0004557689556509148
lag_3,-0.0005188948497854007
HT_DCPERIOD,-0.0005302575107295482
SAR,-0.0008155865522173622
ADX_10,-0.002959341917024183
