,feature,feature_importance
0,macdsignal,0.006755804924242437
1,ADX_5,0.006194214015151522
2,BOP,0.0036971401515151214
3,CMO_10,0.003657026515151429
4,aroondown,0.0036403124999998537
5,CCI_30,0.003563428030303073
6,aroonup,0.003466486742424224
7,ADX_30,0.003446429924242378
8,aroon_osc,0.003158948863636324
9,macd,0.0029383238636363496
10,ADXR_10,0.0029282954545454265
11,MINUS_DM_10,0.002848068181818153
12,rsi_10,0.002817982954545384
13,roc_10,0.002590672348484868
14,DX_10,0.0025773011363635634
15,APO,0.002550558712121176
16,MOM_10,0.0025472159090909052
17,PLUS_DM_10,0.0024669886363636317
18,14 Day STD,0.0023834185606060876
19,30 Day STD,0.0023533333333333184
20,macdhist,0.0023399621212121247
21,rsi_5,0.002303191287878703
22,WILLR,0.002273106060606045
23,roc_30,0.0021895359848485008
24,ULTOSC,0.0021828503787878484
25,MINUS_DI_10,0.002166136363636384
26,PPO,0.0021059659090908456
27,rsi_30,0.0020959374999999225
28,slowk,0.0020457954545454182
29,SAR,0.002025738636363572
30,fastd_rsi,0.0020223958333333014
31,roc_5,0.0019254545454545635
32,fastd,0.0018117992424242502
33,slowd,0.001781714015151481
34,7 Day STD,0.0017349147727272474
35,fastk_rsi,0.00167474431818182
36,roll_var_30,0.0015343465909091192
37,5 Day STD,0.0015109469696970024
38,fastk,0.0014708333333333101
39,TRIX_10,0.0014541193181818457
40,roll_var_14,0.0014206912878788058
41,MIDPOINT_15,0.0014140056818181534
42,PLUS_DI_10,0.00133377840909088
43,roll_var_7,0.001290321969696917
44,HT_DCPERIOD,0.0012769507575757233
45,lag_3,0.0012769507575757233
46,lower_band,0.0012568939393937661
47,WMA_30,0.001056325757575749
48,roll_var_5,0.0009794412878787462
49,ADX_10,0.0008390435606060453
50,trima_15,0.0007822159090909997
51,MIDPOINT_30,0.0006752462121212277
52,WMA_5,0.0005883333333333018
53,WMA_7,0.000554905303030262
54,SMA_30,0.00029416666666670643
55,NEW_SMA_5,0.0002039109848485099
56,SMA_5,0.0002039109848485099
57,WMA_14,0.00011365530303031335
58,SMA_7,5.3484848484885994e-05
59,dema_15,-3.342803030303987e-05
60,trima_30,-8.022727272727348e-05
61,SMA_14,-0.00015711174242427628
62,kama_15,-0.00044125000000005965
63,dema_30,-0.0005849905303030312
64,ewm_15,-0.0005849905303030312
65,kama_30,-0.0006919602272726921
66,ewm_30,-0.0007187026515151906
67,upper_band,-0.000992812500000051
68,middle_band,-0.001099782196969712
69,lag_5,-0.0012034090909091022
70,lag_2,-0.0012401799242424127
71,close,-0.0013270928030303386
72,lag_1,-0.0013504924242424554
73,lag_4,-0.0018719696969696775
