,0
150,9252.27734375
151,9428.3330078125
152,9277.9677734375
153,9278.8076171875
154,9240.3466796875
155,9276.5
156,9243.6142578125
157,9243.2138671875
158,9192.8369140625
159,9132.2275390625
160,9151.392578125
161,9159.0400390625
162,9185.8173828125
163,9164.2314453125
164,9374.8876953125
165,9525.36328125
166,9581.072265625
167,9536.892578125
168,9677.11328125
169,9905.1669921875
170,10990.873046875
171,10912.8232421875
172,11100.4677734375
173,11111.2138671875
174,11323.466796875
175,11759.5927734375
176,11053.6142578125
177,11246.3486328125
178,11747.0224609375
179,11779.7734375
180,11601.47265625
181,11754.0458984375
182,11675.7392578125
183,11878.111328125
184,11410.525390625
185,11584.9345703125
186,11784.1376953125
187,11768.87109375
188,11865.6982421875
189,11892.8037109375
190,12254.40234375
191,11991.2333984375
192,11758.283203125
193,11878.3720703125
194,11592.4892578125
195,11681.8251953125
196,11664.84765625
197,11774.595703125
198,11366.134765625
199,11488.36328125
