,future
0,314.1659851074219
1,325.4309997558594
2,361.1889953613281
3,403.4169921875
4,411.56298828125
5,386.35400390625
6,374.4700012207031
7,386.4819946289063
8,373.3680114746094
9,380.2569885253906
10,336.8190002441406
11,311.0840148925781
12,338.1520080566406
13,336.75299072265625
14,332.906005859375
15,320.1659851074219
16,330.7510070800781
17,335.093994140625
18,334.5899963378906
19,326.14898681640625
20,322.0220031738281
21,326.927001953125
22,324.5360107421875
23,323.0459899902344
24,320.0459899902344
25,328.20599365234375
26,352.6839904785156
27,358.0419921875
28,357.3810119628906
29,371.29400634765625
30,377.3210144042969
31,362.4880065917969
32,359.18701171875
33,361.0459899902344
34,363.1830139160156
35,388.9490051269531
36,388.7829895019531
37,395.5360107421875
38,415.56298828125
39,417.56298828125
40,415.47900390625
41,451.93798828125
42,434.99700927734375
43,433.7550048828125
44,444.1820068359375
45,465.3210144042969
46,454.9339904785156
47,456.0780029296875
48,463.6159973144531
49,462.3219909667969
50,442.68499755859375
51,438.6390075683594
52,436.5719909667969
53,442.4010009765625
54,454.9849853515625
55,455.6530151367188
56,417.2739868164063
57,422.822998046875
58,422.2789916992188
59,432.9830017089844
60,426.6199951171875
61,430.5669860839844
62,434.3340148925781
63,433.43798828125
64,430.010986328125
65,433.0910034179688
66,431.9599914550781
67,429.1050109863281
68,458.0480041503906
69,453.2300109863281
70,447.6109924316406
71,447.9909973144531
72,448.4280090332031
73,435.6900024414063
74,432.3710021972656
75,430.3059997558594
76,364.33099365234375
77,387.5360107421875
78,382.2990112304688
79,387.1679992675781
80,380.1489868164063
81,420.2300109863281
82,410.2619934082031
83,382.49200439453125
84,387.4909973144531
85,402.97100830078125
86,391.72601318359375
87,392.1530151367188
88,394.97198486328125
89,380.28900146484375
90,379.4739990234375
91,378.2550048828125
92,368.7669982910156
93,373.0559997558594
94,374.447998046875
95,369.9490051269531
96,389.593994140625
97,386.5490112304688
98,376.5220031738281
99,376.6199951171875
100,373.4469909667969
101,376.0289916992188
102,381.6489868164063
103,379.6539916992188
104,384.26300048828125
105,391.8599853515625
106,407.2300109863281
107,400.18499755859375
108,407.4880065917969
109,416.3219909667969
110,422.37298583984375
111,420.7850036621094
112,437.16400146484375
113,438.7980041503906
114,437.74798583984375
115,420.7359924316406
116,424.9549865722656
117,424.54400634765625
118,432.1520080566406
119,432.5190124511719
120,433.5039978027344
121,437.6969909667969
122,435.12298583984375
123,423.989013671875
124,421.6510009765625
125,410.9389953613281
126,400.5700073242188
127,407.7070007324219
128,414.3210144042969
129,413.97198486328125
130,414.8599853515625
131,417.1310119628906
132,421.6900024414063
133,411.6239929199219
134,414.0650024414063
135,416.43798828125
136,416.8299865722656
137,417.010986328125
138,420.6210021972656
139,409.5480041503906
140,410.4440002441406
141,413.7550048828125
142,413.3070068359375
143,418.0889892578125
144,418.0409851074219
145,416.3940124511719
146,417.177001953125
147,417.9450073242188
148,426.7650146484375
149,424.2309875488281
150,416.5159912109375
151,414.8160095214844
152,416.72900390625
153,417.9599914550781
154,420.87298583984375
155,420.9039916992188
156,421.4440002441406
157,424.0299987792969
158,423.4129943847656
159,422.7449951171875
160,420.3489990234375
161,419.4110107421875
162,421.5639953613281
163,422.4830017089844
164,425.1900024414063
165,423.7340087890625
166,424.2820129394531
167,429.7130126953125
168,430.5719909667969
169,427.3989868164063
170,428.5910034179688
171,435.5090026855469
172,441.3890075683594
173,449.4249877929688
174,445.7369995117188
175,450.2820129394531
176,458.55499267578125
177,461.4259948730469
178,466.0889892578125
179,444.68701171875
180,449.010986328125
181,455.09698486328125
182,448.3179931640625
183,451.875
184,444.66900634765625
185,450.3039855957031
186,446.72198486328125
187,447.97601318359375
188,459.6029968261719
189,458.5360107421875
190,458.5480041503906
191,460.4830017089844
192,450.8949890136719
193,452.7279968261719
194,454.7659912109375
195,455.6700134277344
196,455.6709899902344
197,457.5679931640625
198,454.1629943847656
199,453.7829895019531
200,454.6189880371094
201,438.7149963378906
202,442.6759948730469
203,443.18798828125
204,439.322998046875
205,444.1549987792969
206,445.9809875488281
207,449.5989990234375
208,453.3840026855469
209,473.4639892578125
210,530.0399780273439
211,526.2329711914061
212,533.864013671875
213,531.385986328125
214,536.9199829101561
215,537.9719848632811
216,569.1939697265625
217,572.7269897460938
218,574.9769897460938
219,585.5369873046875
220,576.5969848632812
221,581.64501953125
222,574.6300048828125
223,577.469970703125
224,606.7269897460938
225,672.7839965820312
226,704.3759765625
227,685.5590209960938
228,694.468994140625
229,766.3079833984375
230,748.9089965820312
231,756.2269897460938
232,763.781005859375
233,737.2260131835938
234,666.6519775390625
235,596.1160278320312
236,623.9769897460938
237,665.2990112304688
238,665.1229858398438
239,629.3670043945312
240,655.2750244140625
241,647.0009765625
242,639.8900146484375
243,673.3369750976562
244,676.2960205078125
245,703.7020263671875
246,658.6640014648438
247,683.6619873046875
248,670.6270141601562
249,677.3309936523438
250,640.56201171875
251,666.5230102539062
252,650.9600219726562
253,649.3599853515625
254,647.6589965820312
255,664.551025390625
256,654.468017578125
257,658.0780029296875
258,663.2550048828125
259,660.7670288085938
260,679.458984375
261,673.1060180664062
262,672.864013671875
263,665.6849975585938
264,665.0120239257812
265,650.6190185546875
266,655.5560302734375
267,661.2849731445312
268,654.0969848632812
269,651.7839965820312
270,654.3519897460938
271,655.0349731445312
272,656.9920043945312
273,655.0469970703125
274,624.6810302734375
275,606.27197265625
276,547.4650268554689
277,566.35498046875
278,578.2890014648438
279,575.0430297851562
280,587.7780151367188
281,592.6900024414062
282,591.0540161132812
283,587.801025390625
284,592.10302734375
285,589.1199951171875
286,587.5590209960938
287,585.5880126953125
288,570.4730224609375
